Job Title,Company Name,Location,Publication Date,Categories,Experience Level,Job Link,Full/Part Time
Senior AI Engineer - 1403502,Cisco Meraki,"Annapolis Junction, MD, Flexible / Remote",2023-06-27T10:15:46Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/ciscomeraki/senior-ai-engineer-1403502,
Fahrleitungsmonteur (w/m/d) Fahrleitungs- und Stromversorgungsanlagen,Siemens,"Berlin, Germany",2023-01-24T00:42:10Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/fahrleitungsmonteur-wmd-fahrleitungs-und-stromversorgungsanlagen-916c79,Full-time
Werkstudent (w/m/d) im SHERPA X  Transformationsprogramm,Siemens,"Munich, Germany",2023-05-11T23:41:41Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/werkstudent-wmd-im-sherpa-x-transformationsprogramm-bf9c96,Part-time
Applikateur (m/w/d) für Steuerungs- und Automatisierungstechnik im Applikationszentrum für Produktionsmaschinen,Siemens,"Stuttgart, Germany",2023-05-05T23:39:59Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/applikateur-mwd-fur-steuerungs-und-automatisierungstechnik-im-applikationszentrum-fur-produktionsmaschinen,Full-time
Information Security Spezialist (m/w/d),Siemens,"Munich, Germany",2023-05-18T23:38:47Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/information-security-spezialist-mwd-c99543,
Working Student (f/m/d) Occupational Safety Data,Siemens,"Munich, Germany",2023-04-13T23:42:41Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/working-student-fmd-occupational-safety-data,Part-time
"Manager, Data Engineering",GlossGenius,"Flexible / Remote, Medellin, Colombia, New York, NY",2024-02-02T10:17:18Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/glossgenius/manager-data-engineering-e57dac,
IT Operations Analyst (w/m/d) Firewall,Siemens,"Munich, Germany",2023-01-28T23:37:48Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/it-operations-analyst-wmd-firewall-f09b65,
Projektbearbeitung (w/m/d) Mittelspannungs- und Niederspannungsschaltanlagen,Siemens,"Frankfurt, Germany",2023-03-16T23:48:19Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/projektbearbeitung-wmd-mittelspannungs-und-niederspannungsschaltanlagen-84c7ac,Full-time
Ingenieur (w/m/d) Zulassungs Nachweise für Lokomotiven,Siemens,"Munich, Germany",2023-04-17T23:37:37Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/ingenieur-wmd-zulassungs-nachweise-fur-lokomotiven,
"VP, Treasury Services",Circle,Flexible / Remote,2024-01-04T23:01:56Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/vp-treasury-services-507a3e,
PCB Electronic Data Management (EDM) & PLM Consultant (Remote),Siemens,"Flexible / Remote, United States",2023-05-31T23:46:49Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/siemens/pcb-electronic-data-management-edm-plm-consultant-remote-8c56de,Full-time
AI Engineer Developer - 1403500,Cisco Meraki,"Flexible / Remote, San Jose, CA",2023-06-27T10:15:46Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/ciscomeraki/ai-engineer-developer-1403500,
Pflichtpraktikant*in (w/m/d): Einsatz von KI-Methoden in der Produktionssteuerung,Siemens,"Munich, Germany",2023-02-08T23:37:39Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/pflichtpraktikantin-wmd-einsatz-von-kimethoden-in-der-produktionssteuerung-a28497,Full-time
IT Partner Professional (f/m/d),Siemens,"Flexible / Remote, Katowice, Poland",2023-06-01T23:45:19Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/it-partner-professional-fmd-c0789b,Full-time
Senior Technical Program Manager,Celonis,"Munich, Germany",2024-01-25T23:07:01Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/celonis/senior-technical-program-manager-8833b4,
IT Operations Analyst (f/m/d) DNS / Secure Mail,Siemens,"Munich, Germany",2023-01-28T23:37:48Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/it-operations-analyst-fmd-dns-secure-mail-ae3513,Full-time
"VP, Treasury Services",Circle,Flexible / Remote,2024-01-04T23:01:56Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/vp-treasury-services,
Fachmonteur (w/m/d) elektromechanische Anlagen,Siemens,"Hamburg, Germany",2023-03-10T23:45:26Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/fachmonteur-wmd-elektromechanische-anlagen-011b6b,
Digital Sales Operations IT Systems,Siemens,"Cypress, CA, Flexible / Remote",2023-04-27T23:37:04Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/digital-sales-operations-it-systems-5da5e5,Full-time
(Senior) Consultant in Cyber Security (f/m/d),Siemens,"Munich, Germany",2023-05-16T23:39:40Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/siemens/senior-consultant-in-cyber-security-fmd-5923e7,Full-time
"Manager, Customer Care",Circle,Flexible / Remote,2023-12-13T10:01:51Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/manager-customer-care-d12449,
Prüfsachverständiger (w/m/d) Abnahmeprüfung Signalanlagen,Siemens,"Berlin, Germany",2023-03-01T23:50:32Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/prufsachverstandiger-wmd-abnahmeprufung-signalanlagen,
IT domain architect (f/m/d) Purchase To Pay,Siemens,"Munich, Germany",2023-03-08T23:48:37Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/it-domain-architect-fmd-purchase-to-pay,Full-time
Werkstudent*in (w/m/d) im Bereich Kommunikation,Siemens,"Munich, Germany",2023-05-25T00:16:26Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/werkstudentin-wmd-im-bereich-kommunikation-f4ee16,Part-time
Fachmonteur (w/m/d) elektromechanische Anlagen,Siemens,"Stuttgart, Germany",2023-03-10T23:45:26Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/fachmonteur-wmd-elektromechanische-anlagen-7aad69,
Senior Hardware Developer (f/m/d) FPGA-Design,Siemens,"Berlin, Germany",2023-05-12T23:42:56Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/senior-hardware-developer-fmd-fpgadesign,Full-time
"Inbetriebnahme (w/m/d) für sicherheitstechnische Anlagen (EMA, CCTV, ZKS) im Raum Frankfurt",Siemens,"Frankfurt, Germany",2023-03-24T23:48:00Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/inbetriebnahme-wmd-fur-sicherheitstechnische-anlagen-ema-cctv-zks-im-raum-frankfurt-2b87f4,Full-time
Projektbearbeitung (w/m/d) Mittelspannungs- und Niederspannungsschaltanlagen,Siemens,"Cologne, Germany",2023-03-16T23:48:19Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/projektbearbeitung-wmd-mittelspannungs-und-niederspannungsschaltanlagen-b614b1,Full-time
Prüfsachverständiger (w/m/d) Abnahmeprüfung Signalanlagen,Siemens,"Berlin, Germany",2023-03-01T23:50:32Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/prufsachverstandiger-wmd-abnahmeprufung-signalanlagen-df74ea,Full-time
Senior Consultant (w/m/d) Data Quality,Siemens,"Berlin, Germany",2023-02-08T23:37:40Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/siemens/senior-consultant-wmd-data-quality,Full-time
Digital Sales Operations IT Systems,Siemens,"Flexible / Remote, Livonia, MI",2023-04-27T23:37:04Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/digital-sales-operations-it-systems-6d7690,Full-time
"Senior Data Analyst, Financial Reporting",Circle,Flexible / Remote,2024-01-03T23:02:01Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/circle/senior-data-analyst-financial-reporting-eaafb1,
Elektroingenieur (w/m/d) Eisenbahn-Sicherungstechnik,Siemens,"Berlin, Germany",2023-04-05T11:52:49Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/elektroingenieur-wmd-eisenbahnsicherungstechnik-560160,Full-time
Patent Professional (w/m/d),Siemens,"Munich, Germany",2023-05-19T23:38:22Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/patent-professional-wmd-0ceb8b,Either
"VP, Treasury Services",Circle,Flexible / Remote,2024-01-04T23:01:56Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/vp-treasury-services-80c61f,
"Senior Data Analyst, Financial Reporting",Circle,Flexible / Remote,2024-01-03T23:02:01Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/circle/senior-data-analyst-financial-reporting-19069d,
